created_at,cleaned_tweet
2014-10-26 13:30:38+00:00,ahahahaha oh gtuh yaiyalah gmna mau ktemunya udh sore ya pasti gakan ketemu ath hahaha d ya mungkin kapan2 ktemu breng purnanya
2014-10-26 06:59:28+00:00,ahahahah amin d sukses pnjang umur makin pinter jga nis d kapan k bandung lgi ath selamat ulang tahun kang
2014-10-26 06:57:34+00:00,sama2 hihi amin rt makash wil kamu juga makin pinter ya d bpinya d slmt ulangtaun rochman
2014-10-26 06:57:30+00:00,selamat ulang tahun bray traktiran atuh hehe
2014-10-26 06:57:25+00:00,selamat ulangtahun kang panjang umur sukses dan makin terbaik kang barakaallah kang o
2014-10-26 06:57:17+00:00,iyahh joww amiin d hahaha d makin sukses juga selamat ulangtahun kang panjang umur sukses dan makin terbaik
2014-10-26 06:56:18+00:00,enya ath enya kalemm hahaha d nuhun brayy selamat ulang tahun bray traktiran atuh hehe
2014-10-26 06:55:03+00:00,ahaha makasih tres d selamat ulang tahun ono
2014-10-26 06:54:22+00:00,yoow makasih nuu d happy birthday ono
2014-10-26 06:53:34+00:00,sama sama bro sebenernya saya lebih ke seni vocal bukan ke angklungnya hehe
2014-10-26 06:51:43+00:00,rt slmt ulangtaun rochman makin pinter
2014-10-26 02:34:44+00:00,terkadang air mata adalah tanda kebahagiaan yang tidak terucapkan dan senyuman adalah tanda sakit yang mencoba ununtuk k
2014-10-26 02:34:21+00:00,makasih banyak broo sukses juga di seni angklungnya d
2014-10-26 02:33:29+00:00,selamat ulang tahun dan sukses selalu ya god bless you
2014-10-26 02:08:51+00:00,ahahaha maksih banyak fah d sukses juga buat kamu onooo selamat ulangtan sukses yaa
2014-10-26 02:02:10+00:00,nonbar w united vs chelsea paskal hyper square kontak ke cp di poster
2014-10-26 01:57:22+00:00,iya sama sama nov d amin mksh kembali no ono will be better than before if you more be better than ono d mak
2014-10-26 01:51:57+00:00,ahahaha iya is ntar sama saya sharein mnta pin atau ga nomer kmu d dm d iya samasama man ada aja ko kmaren2 hpnya lagi
2014-10-26 01:49:47+00:00,yasok mangga mayang ahahaha d bisa diaturlah ehhhiyaaa ditungguuu besokk makanmakan yaa kangg di kliningan aja dahh d
2014-10-26 01:48:41+00:00,amiin san makasih psan semoga doanya jadi doa buat kamu juga san d selamat ulang tahun onooo panjang umur
2014-10-26 01:46:56+00:00,selamat ulang tahun onooo panjang umur sehat selalu makin segalanya pokoknya sukses terus yaa
2014-10-26 01:46:20+00:00,ahahaha iya git kamu juga semoga acara kmrin yg ngewakilin 30octnya jadi lebih sukses git d keep xi av2
2014-10-26 01:42:23+00:00,jhowww
2014-10-26 01:41:49+00:00,iya is makasih bnyak sukses juga ya d kmna aja atu is jrang kmpul breng purna hahaa selamaaat ulang tahun maaan sem
2014-10-26 01:36:54+00:00,ahahaha ada aja cut ntar aja klo ntar kmpul 9f ngbrol d asli kenapa ihh
2014-10-26 01:33:38+00:00,iya sama sama mayang okehlah d buat anak kota hahaha d
2014-10-26 01:30:42+00:00,asli urg juga udh kaga men d samasama aku udah ngga tb lagi d
2014-10-26 01:29:57+00:00,makash wil kamu juga makin pinter ya d bpinya d slmt ulangtaun rochman makin pinter
2014-10-26 01:28:26+00:00,ono will be better than before if you more be better than ono d makasih nov hbd ono be better than before yaps
2014-10-26 01:26:16+00:00,ahahaha ya makasih banyak fres d ya amin aja fres selama itu baik buat buat ono haha selamat ulang tahun doanya terse
2014-10-26 01:24:28+00:00,ahahaa yoi menn d amin makasih bnyak cloud d slamat ulang tahun oii sehat selalu makin pinter makin dewasa makin rajin cuy
2014-10-26 01:22:40+00:00,ya makasih cut d haha makin sukses juga di tbnya haha ono selamat ulang tahun semoga makin sukses yaaaa
2014-10-26 00:59:41+00:00,siap atuh diantosnya haha
2014-10-26 00:59:35+00:00,bisa diatur gie d hahaha makash gi ono selamat ulang taunnnn makin yang terbaik senin gokil gratis atuh yaaaa
2014-10-26 00:39:00+00:00,gampanglah jul traktiran mah mun msalah dolar urg kelar haha traktir coy haha suksesnyaa
2014-10-26 00:31:15+00:00,rt selamat ulang tahun man jadi yang terbaik
2014-10-26 00:30:58+00:00,makasih psan brojoul
2014-10-26 00:30:20+00:00,ahahaha makasih banyak rel d kamu juga jadi yang terbaik rel selamat ulang tahun man jadi yang terbaik
2014-10-22 23:53:27+00:00,what could have been love aerosmith
2014-10-16 10:45:08+00:00,get 25 when you sign up payoneer w my link available to over 200 countries worldwide
2014-10-14 15:13:54+00:00,rochman 7697 has posted a new microblog via
2014-10-14 15:06:22+00:00,rochman 7697 has posted a new microblog via
2014-10-13 13:40:20+00:00,folbacknya dong
2014-10-13 12:53:47+00:00,rochman 7697 has posted a new microblog via
2014-10-12 17:03:31+00:00,rochman 7697 has posted a new microblog via
2014-10-12 16:47:00+00:00,rochman 7697 has posted a new microblog via
2014-10-12 04:35:25+00:00,please subscribe and buzz it
2014-10-10 15:34:18+00:00,rochman 7697 has posted a new microblog via
2014-10-09 10:31:30+00:00,lt like fanspagenya juga di facebook beruntung dapet pulsa gratisssss
2014-10-03 13:27:10+00:00,watch movie
2014-10-03 12:08:44+00:00,rockharmony 7 11 2014 nicky astria amp the bangor reza artamevia feat fianny info 082320874652
2014-09-25 10:12:06+00:00,check out this site
2014-09-24 10:41:01+00:00,i need money i wil sell my mouse havit made in chinesse idr 150k if you like my mouse please chat me at pin32d2be56
2014-09-22 14:14:33+00:00,okeeh sip jay persyaratannya apa aja jay
2014-09-21 11:32:42+00:00,jay gmna kalo jadi ambassador pappersmooth teh jay
2014-09-21 11:24:08+00:00,yooww sop hahahaha d
2014-09-21 00:53:14+00:00,ji cek dm
2014-09-21 00:52:59+00:00,selamat ulang tahun
2014-09-20 10:30:42+00:00,nes mau ikt ga bsok
2014-09-19 14:28:26+00:00,open order lazy pod idr 60k for contact follow or pin32d2be56 thanks d
2014-09-14 12:58:13+00:00,kmna ji ahaha sori euy kmren urg k mayang sunda
2014-09-14 12:53:58+00:00,oyy
2014-09-09 10:38:16+00:00,folback brayy
2014-09-09 10:14:38+00:00,follow buat kamu kamu yang udah punya pacar haha d eits just kid tapi buat kamu yang single bisa pesen ko buat surprise
2014-08-30 15:41:03+00:00,follow buat pasangan2 lo cocok dikasih sureprise karikatur d
2014-08-26 16:30:49+00:00,fun karikatur mulai dari hrga 100 500rb setiap satu pembuatannya ukuran a4 a2 info lngkap pin32d2be56 088970002313
2014-08-23 13:27:41+00:00,click for your money pocket
2014-08-23 09:48:35+00:00,open jasa karikatur art mulai dari hrga 100k 500k ada hitam putih dan berwarna untuk kontak 32d2be56 088970002313
