created_at,cleaned_tweet
2021-09-23 15:16:44+00:00,me apa apaan zodiak wkwkwk also me lari ada infp awokawok
2021-09-21 16:58:57+00:00,kau tidak ingin mati kau hanya ingin masalahmu selesai bener juga
2021-09-21 13:28:50+00:00,ya allah indihome telkomsel giliran banyak kerjaan banyak deadline menanti error kalian astaghfirullah
2021-09-18 12:43:39+00:00,ucul v
2021-09-17 13:41:57+00:00,karena kamu lagi kena c0vid
2021-09-11 09:13:45+00:00,kenapa ya pas lagi pengen sesuatu entah itu jajanan makanan minuman bahkan cukur rambut tuh biasanya kalo gak tutup ya habis
2021-09-11 02:45:40+00:00,belum kuliah udah dapat alhamdulillah
2021-09-10 13:50:48+00:00,datanya di excel aplikasinya di browser tentu kalo alt tab gak berfungsi mendadak akan sangat mengganggu untung udah di akhir akhir mengkesal wkwkwk
2021-09-09 13:20:58+00:00,hai bang
2021-09-09 13:05:58+00:00,bantu ngisi data dapodik kb amp tk liat bapak umur 1993 kek kerasa masih muda padahal udah 28 ga sadar bentar lagi 20 umur
2021-09-09 06:08:45+00:00,kangen pastel h m arsyad yang bikin pulang kampung gegara covid
2021-09-09 06:08:00+00:00,alesan ae tuh hm
2021-09-08 04:44:56+00:00,dulu ada tebs rasa sarsaparilla entah ke mana sekarang kemaren kalo nggak salah ada yang jual di sampit minuman sarsaparilla merek agung ngoro dulu pernah nyoba coffee beernya enak entah masih ada apa nggak
2021-09-08 04:43:02+00:00,yoi bang dulu ga paham kenapa ada yang suka now i know
2021-09-08 04:38:43+00:00,mungkin kalo udah diberi kesempatan buat balik ke jakarta mo nyobain saparella yang udah legendaris asli jogja tapi entah kapan ke sana
2021-09-08 04:36:22+00:00,sekarang nyobain ini buatan sinarmas ada yang kemasan botol beling ini lumayan murah tapi lebih murah yang f amp n sarsi yah ini gratis sih sebenernya karena dibeliin mamah awkokwo
2021-09-08 04:30:40+00:00,enak ges ternyata lalu nyobain root beer a amp w di indomaret nge tweet gini karena banyak yang ngatain bau dan rasanya kek balsem wkwkwk lumayan mahal tapienak
2021-09-08 04:27:59+00:00,guess imma make a thread about this wkwkwk dulu pertama nyobain root beer memang gak enak aneh aja gitu lalu ketemu sama ini murah nyobain deh mau nyoba pun karena tau minuman rasa sarsaparilla tuh root beer
2021-09-05 16:07:07+00:00,bukan korupsi mah kalo yang itu suap
2021-09-01 11:54:10+00:00,dibayar berapa nih dari anggaran buzzerp
2021-08-30 14:19:46+00:00,kita mah non blok yekan ga kaya
2021-08-30 14:18:50+00:00,seharusnya kaya begini sih karena di umur yang segini tuh menurutku hal yang cukup wajar untuk menjadi individualism se
2021-08-29 15:24:53+00:00,tapienak
2021-08-29 09:44:05+00:00,satu pendapat apa nih enak atau ga enak
2021-08-29 09:30:54+00:00,minum balsem
2021-08-28 05:30:33+00:00,apakah kamu terbuat dari kromium yodium nitrogen dan germanium ya karena kamu
2021-08-27 15:44:54+00:00,good morning everyone
2021-08-27 15:42:22+00:00,joko widodo
2021-08-27 15:39:08+00:00,halal gak yaa
2021-08-25 18:18:11+00:00,gas ngatain sultan
2021-08-25 15:44:45+00:00,spill bang hehe padahal ga ngerti konteks
2021-08-24 17:40:40+00:00,entp siapa nih mbak
2021-08-24 15:01:30+00:00,apakah kalo kalian gabut bikin karya tulis
2021-08-24 10:58:48+00:00,di bintang tadi aku dapetnyaa
