created_at,cleaned_tweet
2022-05-03 10:00:59+00:00,terima kasih egi
2022-05-03 10:00:47+00:00,ga mau takut
2022-05-03 09:59:56+00:00,alhamdulillah
2022-05-03 08:05:55+00:00,cerita horor para pemain kkn di desa penari saat di lokasi syuting penasaran saksikan hello story terbaru bersama sanjay
2022-05-03 08:05:09+00:00,mau tau apa kata para sineas film tentang kkn di desa penari yuk buktikan seramnya desa penari dan siap siap bertemu b
2022-05-03 08:04:59+00:00,samaa
2022-05-03 08:04:40+00:00,semua orang bebas perpendapat terima kasih ya
2022-05-03 08:03:18+00:00,tiga kali wow
2022-05-03 08:02:38+00:00,keren amat
2022-05-03 08:02:26+00:00,kknmovie kkndidesapenari overall i enjoyed the movie cerita plek sama seperti thread nya walau ada beberapa scene yg kel
2022-05-03 08:02:07+00:00,asli nonton kkndidesapenari bikin degdegkan tapi keren sih gara2 nonton ini film gue jadi males ke kamar mandi ngeb
