created_at,cleaned_tweet
2022-06-02 17:08:59+00:00,finally day 7
2022-06-02 16:27:32+00:00,pakai amplas ilang tann
2022-06-02 07:10:12+00:00,cafe yang ada musholanya emang patut dikasih penghargaan
2022-06-02 07:07:05+00:00,mcd pernah bikin iklan tentang drive thru naik apa aja bisa kok melalui drive thru
2022-05-31 18:02:48+00:00,day 6
2022-05-30 17:19:58+00:00,day 5
2022-05-29 11:36:46+00:00,kenapa chicken teriyaki ini rasa pisang goreng
2022-05-29 10:09:13+00:00,disaat saya on fire disitulah teman teman saya mode throwing
2022-05-29 07:16:13+00:00,ini gambar katalis kah xixixixi
2022-05-29 07:05:50+00:00,janji gak nangis
2022-05-29 06:58:46+00:00,thibaut courtois back in england i don t get enough respect so well i showed it today i wanted to put some respe
2022-05-28 21:50:38+00:00,iya kak
2022-05-28 21:38:56+00:00,gelato
2022-05-28 21:35:25+00:00,digendong
2022-05-27 15:31:00+00:00,day 4
2022-05-27 15:14:32+00:00,sini bang
2022-05-26 18:08:40+00:00,shappp kudu bakar soal sisuk
2022-05-26 18:05:02+00:00,speedrunn
2022-05-26 18:04:11+00:00,lanjut subuhhh
2022-05-26 11:44:37+00:00,kimia fisika menunggu
2022-05-25 18:28:07+00:00,jokiin aku dong kaaa
2022-05-25 18:25:15+00:00,gonna post my final examinations diary it was really fun itung itung buat belajar speaking ya kann and correct my grammar cus it s really bad
2022-05-25 18:20:55+00:00,mukbang after coding these mf eat twice of my portion for himself
2022-05-25 18:17:52+00:00,hajarrrr
2022-05-25 18:16:40+00:00,day 3
2022-05-25 14:46:12+00:00,thanks
2022-05-24 15:12:48+00:00,day 2
2022-05-23 15:40:55+00:00,info obat sakit leher nya mas mba
2022-05-23 14:28:01+00:00,soal kalkulus
2022-05-23 08:02:00+00:00,tandain yaa kita tunggu sabtu nanti siapa yang nangis
2022-05-23 07:26:01+00:00,emang penyakit ipul kalo poin dh banyak hobi draw dipertengahan musim
2022-05-22 18:13:38+00:00,origoat
